,northing,easting,elevation,forest,water
169,55276,923942,490,0,0
170,56276,923942,477,0,0
171,57276,923942,463,0,0
172,58276,923942,419,0,0
173,59276,923942,397,0,0
174,60276,923942,390,4,0
175,61276,923942,407,2,0
176,62276,923942,399,15,14
177,63276,923942,416,0,0
178,64276,923942,433,1,0
179,65276,923942,450,0,0
180,66276,923942,433,1,0
181,67276,923942,414,0,0
182,68276,923942,416,0,0
183,69276,923942,425,2,0
184,70276,923942,434,1,0
185,71276,923942,445,21,0
186,72276,923942,447,55,0
187,73276,923942,458,50,0
188,74276,923942,461,11,0
189,75276,923942,466,2,0
190,84276,923942,1022,72,0
191,85276,923942,1201,89,0
192,86276,923942,1256,99,0
193,87276,923942,1443,66,0
194,88276,923942,1409,54,0
195,89276,923942,1290,81,0
196,90276,923942,1215,67,0
197,91276,923942,1297,67,0
198,92276,923942,1360,63,0
199,93276,923942,1456,26,0
200,94276,923942,1507,45,0
201,95276,923942,1339,86,0
202,96276,923942,1226,48,0
203,97276,923942,1154,12,0
204,103276,923942,1273,11,0
205,104276,923942,1310,44,0
206,55276,924942,486,0,0
207,56276,924942,470,1,0
208,57276,924942,450,10,0
209,58276,924942,422,4,0
210,59276,924942,408,4,0
211,60276,924942,385,0,0
212,61276,924942,376,0,7
213,62276,924942,375,1,11
214,63276,924942,403,0,0
215,64276,924942,408,0,0
216,65276,924942,438,1,0
217,66276,924942,450,2,0
218,67276,924942,409,15,0
219,68276,924942,407,10,0
220,69276,924942,425,28,0
221,70276,924942,425,8,0
222,71276,924942,422,42,2
223,72276,924942,433,83,1
224,73276,924942,444,88,0
225,74276,924942,455,50,0
226,75276,924942,470,5,0
227,76276,924942,468,12,3
228,77276,924942,463,2,0
229,83276,924942,626,39,0
230,84276,924942,746,100,0
231,85276,924942,931,100,0
232,86276,924942,1141,100,0
233,87276,924942,1321,92,0
234,88276,924942,1343,60,0
235,89276,924942,1204,71,0
236,90276,924942,1232,73,0
237,91276,924942,1332,57,0
238,92276,924942,1371,80,0
239,93276,924942,1431,68,0
240,94276,924942,1472,62,0
241,95276,924942,1456,47,0
242,96276,924942,1376,77,0
243,97276,924942,1264,48,0
244,98276,924942,1167,24,0
245,102276,924942,1219,15,0
246,103276,924942,1263,90,0
247,104276,924942,1300,99,0
248,105276,924942,1330,62,0
249,106276,924942,1349,1,0
250,56276,925942,459,0,0
251,57276,925942,440,2,0
252,58276,925942,422,2,0
253,59276,925942,419,10,1
254,60276,925942,385,15,10
255,61276,925942,389,0,0
256,62276,925942,380,0,7
257,63276,925942,376,0,33
258,64276,925942,384,0,20
259,65276,925942,381,4,37
260,66276,925942,386,12,27
261,67276,925942,389,8,13
262,68276,925942,392,11,4
263,69276,925942,421,6,0
264,70276,925942,416,19,0
265,71276,925942,410,28,1
266,72276,925942,425,30,0
267,73276,925942,431,49,0
268,74276,925942,450,53,1
269,75276,925942,460,55,0
270,76276,925942,475,72,0
271,77276,925942,470,22,0
272,78276,925942,467,1,2
273,82276,925942,543,0,0
274,83276,925942,549,7,0
275,84276,925942,600,70,0
276,85276,925942,691,91,0
277,86276,925942,890,100,0
278,87276,925942,1147,98,0
279,88276,925942,1207,94,0
280,89276,925942,1166,67,0
281,90276,925942,1216,87,0
282,91276,925942,1326,42,0
283,92276,925942,1342,66,0
284,93276,925942,1329,36,0
285,94276,925942,1371,96,0
286,95276,925942,1502,95,0
287,96276,925942,1468,95,0
288,97276,925942,1347,87,0
289,98276,925942,1286,55,0
290,99276,925942,1135,3,0
291,101276,925942,1184,14,0
292,102276,925942,1197,83,0
293,103276,925942,1239,96,0
294,104276,925942,1239,96,0
295,105276,925942,1296,100,0
296,106276,925942,1352,52,0
297,57276,926942,426,0,0
298,58276,926942,425,25,0
299,59276,926942,417,7,1
300,60276,926942,397,11,4
301,61276,926942,417,3,2
302,62276,926942,394,0,1
303,63276,926942,372,0,78
304,64276,926942,372,0,100
305,65276,926942,372,0,100
306,66276,926942,372,0,100
307,67276,926942,372,0,100
308,68276,926942,372,0,87
309,69276,926942,391,1,19
310,70276,926942,400,24,0
311,71276,926942,398,6,0
312,72276,926942,407,9,0
313,73276,926942,423,41,2
314,74276,926942,428,18,0
315,75276,926942,443,3,0
316,76276,926942,453,9,0
317,77276,926942,473,17,0
318,78276,926942,474,0,1
319,79276,926942,469,7,0
320,80276,926942,468,1,0
321,81276,926942,477,0,0
322,82276,926942,506,6,0
323,83276,926942,524,0,1
324,84276,926942,549,13,0
325,85276,926942,607,18,0
326,86276,926942,703,89,0
327,87276,926942,859,100,0
328,88276,926942,1041,92,0
329,89276,926942,1086,58,0
330,90276,926942,1126,53,0
331,91276,926942,1287,50,0
332,92276,926942,1286,87,0
333,93276,926942,1300,87,0
334,94276,926942,1299,67,0
335,95276,926942,1355,88,0
336,96276,926942,1463,59,0
337,97276,926942,1481,89,0
338,98276,926942,1374,93,0
339,99276,926942,1304,24,0
340,100276,926942,1194,44,0
341,101276,926942,1050,46,1
342,102276,926942,1179,83,0
343,103276,926942,1222,88,0
344,104276,926942,1215,88,0
345,105276,926942,1269,100,0
346,106276,926942,1325,99,0
347,107276,926942,1345,28,0
348,57276,927942,424,0,0
349,58276,927942,427,6,0
350,59276,927942,417,21,6
351,60276,927942,412,11,5
352,61276,927942,421,0,0
353,62276,927942,421,3,0
354,63276,927942,400,10,15
355,64276,927942,372,0,81
356,65276,927942,372,0,100
357,66276,927942,372,0,100
358,67276,927942,372,0,100
359,68276,927942,372,0,100
360,69276,927942,372,0,97
361,70276,927942,372,2,74
362,71276,927942,372,0,85
363,72276,927942,372,1,67
364,73276,927942,387,5,17
365,74276,927942,412,6,0
366,75276,927942,426,2,0
367,76276,927942,432,0,0
368,77276,927942,444,0,0
369,78276,927942,463,13,0
370,79276,927942,468,39,0
371,80276,927942,472,32,0
372,81276,927942,466,1,0
373,82276,927942,490,1,0
374,83276,927942,513,1,0
375,84276,927942,533,2,0
376,85276,927942,554,5,0
377,86276,927942,609,68,0
378,87276,927942,712,98,0
379,88276,927942,823,94,0
380,89276,927942,978,94,0
381,90276,927942,1074,23,0
382,91276,927942,1134,58,0
383,92276,927942,1193,62,0
384,93276,927942,1252,78,0
385,94276,927942,1286,59,0
386,95276,927942,1279,64,0
387,96276,927942,1360,78,0
388,97276,927942,1460,54,0
389,98276,927942,1458,95,0
390,99276,927942,1355,91,0
391,100276,927942,1284,35,0
392,101276,927942,1119,74,0
393,102276,927942,1046,30,0
394,103276,927942,1174,84,0
395,104276,927942,1192,89,0
396,105276,927942,1223,100,0
397,106276,927942,1244,100,0
398,107276,927942,1336,94,0
399,108276,927942,1352,4,0
400,58276,928942,423,0,0
401,59276,928942,406,0,2
402,60276,928942,402,0,2
403,61276,928942,413,2,0
404,62276,928942,424,0,0
405,63276,928942,439,3,0
406,64276,928942,471,4,1
407,65276,928942,384,1,42
408,66276,928942,372,0,93
409,67276,928942,372,0,95
410,68276,928942,372,0,100
411,69276,928942,372,0,100
412,70276,928942,372,0,100
413,71276,928942,350,0,100
414,72276,928942,372,0,100
415,73276,928942,372,0,95
416,74276,928942,377,0,47
417,75276,928942,401,4,0
418,76276,928942,413,0,0
419,77276,928942,421,1,0
420,78276,928942,437,11,0
421,79276,928942,450,19,0
422,80276,928942,459,43,0
423,81276,928942,460,17,0
424,82276,928942,468,2,0
425,83276,928942,501,0,0
426,84276,928942,513,2,0
427,85276,928942,529,1,0
428,86276,928942,565,37,0
429,87276,928942,650,89,0
430,88276,928942,680,96,0
431,89276,928942,870,92,0
432,90276,928942,1032,36,0
433,91276,928942,1058,65,0
434,92276,928942,1115,79,0
435,93276,928942,1164,77,0
436,94276,928942,1253,49,0
437,95276,928942,1250,34,0
438,96276,928942,1294,74,0
439,97276,928942,1362,81,0
440,98276,928942,1463,73,0
441,99276,928942,1446,92,0
442,100276,928942,1316,53,0
443,101276,928942,1250,21,0
444,102276,928942,1073,44,0
445,103276,928942,1050,27,0
446,104276,928942,1145,61,0
447,105276,928942,1141,73,0
448,106276,928942,1208,97,0
449,107276,928942,1281,100,0
450,108276,928942,1345,63,0
451,109276,928942,1354,5,0
452,60276,929942,405,0,0
453,61276,929942,420,0,0
454,62276,929942,423,0,0
455,63276,929942,429,3,0
456,64276,929942,462,3,0
457,65276,929942,476,4,0
458,66276,929942,428,0,0
459,67276,929942,403,6,2
460,68276,929942,387,4,10
461,69276,929942,372,3,70
462,70276,929942,372,0,100
463,71276,929942,372,0,100
464,72276,929942,372,0,100
465,73276,929942,372,0,100
466,74276,929942,372,0,100
467,75276,929942,372,1,68
468,76276,929942,384,1,24
469,77276,929942,390,0,4
470,78276,929942,398,8,0
471,79276,929942,432,3,0
472,80276,929942,445,4,0
473,81276,929942,450,1,0
474,82276,929942,448,3,0
475,83276,929942,478,0,0
476,84276,929942,494,1,0
477,85276,929942,503,1,0
478,86276,929942,540,6,0
479,87276,929942,569,42,0
480,88276,929942,618,28,0
481,89276,929942,783,99,0
482,90276,929942,913,89,0
483,91276,929942,1021,73,0
484,92276,929942,1011,85,0
485,93276,929942,1131,64,0
486,94276,929942,1212,65,0
487,95276,929942,1318,82,0
488,96276,929942,1297,58,0
489,97276,929942,1299,40,0
490,98276,929942,1328,59,0
491,99276,929942,1429,85,0
492,100276,929942,1388,93,0
493,101276,929942,1278,53,0
494,102276,929942,1220,30,0
495,103276,929942,1069,14,1
496,104276,929942,1055,33,1
497,105276,929942,1094,31,0
498,106276,929942,1147,71,0
499,107276,929942,1218,100,0
500,108276,929942,1300,99,0
501,109276,929942,1341,66,0
502,110276,929942,1366,1,0
503,61276,930942,422,1,0
504,62276,930942,427,3,0
505,63276,930942,428,5,0
506,64276,930942,434,0,0
507,65276,930942,458,6,0
508,66276,930942,447,1,0
509,67276,930942,432,2,0
510,68276,930942,413,0,0
511,69276,930942,386,1,21
512,70276,930942,372,0,90
513,71276,930942,372,0,100
514,72276,930942,372,0,100
515,73276,930942,372,0,100
516,74276,930942,372,0,100
517,75276,930942,372,0,100
518,76276,930942,372,0,100
519,77276,930942,372,0,90
520,78276,930942,372,1,69
521,79276,930942,383,6,23
522,80276,930942,423,5,0
523,81276,930942,431,14,0
524,82276,930942,430,10,0
525,83276,930942,451,0,0
526,84276,930942,473,1,0
527,85276,930942,481,0,0
528,86276,930942,506,5,0
529,87276,930942,533,6,0
530,88276,930942,570,1,0
531,89276,930942,663,60,0
532,90276,930942,792,20,0
533,91276,930942,874,45,0
534,92276,930942,923,91,0
535,93276,930942,983,62,0
536,94276,930942,1146,90,0
537,95276,930942,1343,80,0
538,96276,930942,1366,66,0
539,97276,930942,1377,55,0
540,98276,930942,1334,50,0
541,99276,930942,1331,44,0
542,100276,930942,1360,81,0
543,101276,930942,1336,86,0
544,102276,930942,1288,54,0
545,103276,930942,1209,35,0
546,104276,930942,1043,6,1
547,105276,930942,1042,18,0
548,106276,930942,1088,30,0
549,107276,930942,1155,86,0
550,108276,930942,1224,99,0
551,109276,930942,1286,99,0
552,110276,930942,1355,67,0
553,62276,931942,429,0,0
554,63276,931942,429,0,0
555,64276,931942,428,3,1
556,65276,931942,452,3,0
557,66276,931942,433,1,1
558,67276,931942,436,0,0
559,68276,931942,435,0,0
560,69276,931942,429,6,0
561,70276,931942,416,2,6
562,71276,931942,374,0,61
563,72276,931942,372,0,100
564,73276,931942,372,0,100
565,74276,931942,372,0,61
566,75276,931942,372,0,55
567,76276,931942,372,0,96
568,77276,931942,372,0,100
569,78276,931942,372,0,100
570,79276,931942,372,0,100
571,80276,931942,375,1,51
572,81276,931942,398,20,0
573,82276,931942,415,11,0
574,83276,931942,429,0,0
575,84276,931942,452,3,0
576,85276,931942,462,0,0
577,86276,931942,464,9,0
578,87276,931942,494,10,0
579,88276,931942,540,15,0
580,89276,931942,634,6,0
581,90276,931942,694,7,0
582,91276,931942,746,49,0
583,92276,931942,837,41,0
584,93276,931942,916,80,0
585,94276,931942,1036,87,0
586,95276,931942,1184,85,0
587,96276,931942,1326,87,0
588,97276,931942,1400,79,0
589,98276,931942,1430,60,0
590,99276,931942,1320,19,0
591,100276,931942,1320,43,0
592,101276,931942,1322,51,0
593,102276,931942,1333,92,0
594,103276,931942,1279,49,0
595,104276,931942,1130,46,1
596,105276,931942,1020,5,1
597,106276,931942,1028,3,0
598,107276,931942,1090,31,1
599,108276,931942,1152,66,0
600,109276,931942,1196,100,0
601,110276,931942,1269,100,0
602,111276,931942,1344,51,0
603,62276,932942,437,0,0
604,63276,932942,433,0,0
605,64276,932942,430,3,0
606,65276,932942,429,5,1
607,66276,932942,431,1,0
608,67276,932942,437,0,0
609,68276,932942,438,1,1
610,69276,932942,434,2,0
611,70276,932942,426,2,1
612,71276,932942,420,6,0
613,72276,932942,382,1,50
614,73276,932942,372,0,83
615,74276,932942,372,0,9
616,76276,932942,372,0,7
617,77276,932942,372,0,50
618,78276,932942,372,0,94
619,79276,932942,372,0,100
620,80276,932942,372,0,100
621,81276,932942,372,4,66
622,82276,932942,398,1,6
623,83276,932942,415,1,0
624,84276,932942,431,11,0
625,85276,932942,452,4,0
626,86276,932942,445,13,0
627,87276,932942,483,21,0
628,88276,932942,524,67,0
629,89276,932942,577,55,0
630,90276,932942,661,38,0
631,91276,932942,722,16,0
632,92276,932942,781,3,0
633,93276,932942,833,14,0
634,94276,932942,907,75,0
635,95276,932942,1048,83,0
636,96276,932942,1152,94,0
637,97276,932942,1323,77,0
638,98276,932942,1349,90,0
639,99276,932942,1368,83,0
640,100276,932942,1344,33,0
641,101276,932942,1318,47,0
642,102276,932942,1355,96,0
643,103276,932942,1338,52,0
644,104276,932942,1356,62,0
645,105276,932942,1189,60,0
646,106276,932942,1016,5,1
647,107276,932942,1020,10,3
648,108276,932942,1066,16,0
649,109276,932942,1136,87,0
650,110276,932942,1210,100,0
651,111276,932942,1297,99,0
652,112276,932942,1379,41,0
653,62276,933942,445,0,0
654,63276,933942,454,0,1
655,64276,933942,448,2,0
656,65276,933942,451,0,0
657,66276,933942,457,1,0
658,67276,933942,450,4,0
659,68276,933942,444,0,0
660,69276,933942,430,0,0
661,71276,933942,418,2,0
662,72276,933942,411,9,0
663,73276,933942,388,2,0
664,78276,933942,372,0,6
665,79276,933942,372,0,50
666,80276,933942,372,0,97
667,81276,933942,372,0,100
668,82276,933942,372,1,82
669,83276,933942,399,0,16
670,84276,933942,420,1,0
671,85276,933942,422,0,0
672,86276,933942,432,12,0
673,87276,933942,460,5,0
674,88276,933942,501,11,0
675,89276,933942,597,12,0
676,90276,933942,645,59,0
677,91276,933942,687,35,0
678,92276,933942,727,7,0
679,93276,933942,772,8,0
680,94276,933942,837,11,0
681,95276,933942,932,73,0
682,96276,933942,1028,90,0
683,97276,933942,1177,95,0
684,98276,933942,1248,100,0
685,99276,933942,1288,85,0
686,100276,933942,1395,75,0
687,101276,933942,1367,38,0
688,102276,933942,1346,32,0
689,103276,933942,1330,21,0
690,104276,933942,1373,61,0
691,105276,933942,1325,65,0
692,106276,933942,1127,23,0
693,107276,933942,1008,11,4
694,108276,933942,1006,13,45
695,109276,933942,1071,36,3
696,110276,933942,1119,63,0
697,111276,933942,1174,80,0
698,112276,933942,1281,68,0
699,113276,933942,1374,44,0
700,63276,934942,481,4,0
701,64276,934942,476,9,0
702,65276,934942,473,0,0
703,66276,934942,465,0,0
704,67276,934942,461,1,0
705,68276,934942,454,0,0
706,80276,934942,372,0,40
707,81276,934942,372,0,100
708,82276,934942,372,0,100
709,83276,934942,372,3,63
710,84276,934942,404,9,0
711,85276,934942,411,23,0
712,86276,934942,421,5,0
713,87276,934942,435,0,0
714,88276,934942,464,1,1
715,89276,934942,571,17,0
716,90276,934942,686,2,0
717,91276,934942,725,7,0
718,92276,934942,756,0,0
719,93276,934942,808,19,0
720,94276,934942,870,0,0
721,95276,934942,950,6,0
722,96276,934942,936,8,0
723,97276,934942,1009,64,0
724,98276,934942,1128,98,0
725,99276,934942,1150,95,0
726,100276,934942,1365,35,0
727,101276,934942,1432,94,0
728,102276,934942,1369,40,0
729,103276,934942,1350,22,0
730,104276,934942,1340,34,0
731,105276,934942,1341,82,0
732,106276,934942,1269,46,0
733,107276,934942,1106,16,0
734,108276,934942,1005,0,44
735,109276,934942,1004,13,72
736,110276,934942,1071,31,2
737,111276,934942,1150,29,0
738,112276,934942,1146,60,0
739,113276,934942,1284,73,0
740,114276,934942,1286,31,0
741,63276,935942,491,0,0
742,64276,935942,494,54,0
743,65276,935942,486,33,0
744,66276,935942,481,7,0
745,67276,935942,472,22,0
746,68276,935942,467,7,0
747,81276,935942,372,0,67
748,82276,935942,372,0,100
749,83276,935942,372,9,65
750,84276,935942,390,40,0
751,85276,935942,402,39,0
752,86276,935942,407,0,0
753,87276,935942,421,9,1
754,88276,935942,426,7,0
755,89276,935942,467,9,1
756,90276,935942,678,29,0
757,91276,935942,762,32,0
758,92276,935942,806,43,0
759,93276,935942,809,80,0
760,94276,935942,843,31,0
761,95276,935942,842,16,0
762,96276,935942,861,36,0
763,97276,935942,1000,82,0
764,98276,935942,1067,87,0
765,99276,935942,1103,86,0
766,100276,935942,1241,94,0
767,101276,935942,1446,83,0
768,102276,935942,1491,59,0
769,103276,935942,1461,16,0
770,104276,935942,1395,56,0
771,105276,935942,1327,54,0
772,106276,935942,1306,63,0
773,107276,935942,1272,34,0
774,108276,935942,1086,17,2
775,109276,935942,1004,0,76
776,110276,935942,1004,16,67
777,111276,935942,1076,14,0
778,112276,935942,1098,11,0
779,113276,935942,1157,44,0
780,114276,935942,1239,90,0
781,115276,935942,1197,37,0
782,116276,935942,1186,1,0
783,64276,936942,505,1,0
784,65276,936942,501,79,0
785,66276,936942,492,87,1
786,67276,936942,482,82,0
787,68276,936942,472,58,0
788,69276,936942,465,11,0
789,81276,936942,372,0,6
790,82276,936942,372,0,87
791,83276,936942,372,0,100
792,84276,936942,372,8,88
793,85276,936942,372,7,60
794,86276,936942,386,2,22
795,87276,936942,403,36,1
796,88276,936942,413,3,0
797,89276,936942,432,0,0
798,90276,936942,517,31,0
799,91276,936942,686,87,0
800,92276,936942,782,88,0
801,93276,936942,862,86,0
802,94276,936942,792,69,0
803,95276,936942,792,66,0
804,96276,936942,786,47,0
805,97276,936942,948,85,0
806,98276,936942,1035,84,0
807,99276,936942,1010,100,0
808,100276,936942,1220,99,0
809,101276,936942,1339,79,0
810,102276,936942,1439,86,0
811,103276,936942,1516,69,0
812,104276,936942,1550,40,0
813,105276,936942,1421,67,0
814,106276,936942,1350,56,0
815,107276,936942,1346,47,0
816,108276,936942,1265,44,0
817,109276,936942,1051,29,17
818,110276,936942,1004,0,95
819,111276,936942,1031,19,46
820,112276,936942,1076,17,0
821,113276,936942,1108,35,0
822,114276,936942,1169,56,0
823,115276,936942,1198,85,0
824,116276,936942,1180,55,0
825,65276,937942,508,12,0
826,66276,937942,507,30,0
827,67276,937942,500,40,0
828,68276,937942,492,29,0
829,82276,937942,372,0,21
830,83276,937942,372,0,98
831,84276,937942,372,0,100
832,85276,937942,372,0,100
833,86276,937942,372,0,100
834,87276,937942,382,7,38
835,88276,937942,419,3,0
836,89276,937942,431,5,0
837,90276,937942,466,0,0
838,91276,937942,553,26,0
839,92276,937942,715,78,0
840,93276,937942,823,35,0
841,94276,937942,787,34,0
842,95276,937942,759,28,0
843,96276,937942,755,26,0
844,97276,937942,803,19,0
845,98276,937942,870,67,0
846,99276,937942,886,100,0
847,100276,937942,1088,96,0
848,101276,937942,1301,100,0
849,102276,937942,1380,60,0
850,103276,937942,1475,61,0
851,104276,937942,1547,67,0
852,105276,937942,1546,19,0
853,106276,937942,1435,52,0
854,107276,937942,1367,65,0
855,108276,937942,1348,63,0
856,109276,937942,1270,89,0
857,110276,937942,1032,32,32
858,111276,937942,1004,1,98
859,112276,937942,1037,25,22
860,113276,937942,1068,33,0
861,114276,937942,1126,56,0
862,115276,937942,1181,60,0
863,116276,937942,1176,92,0
864,117276,937942,1117,9,0
865,83276,938942,372,0,45
866,84276,938942,372,0,100
867,85276,938942,372,0,100
868,86276,938942,372,0,100
869,87276,938942,372,0,96
870,88276,938942,380,0,37
871,89276,938942,421,14,1
872,90276,938942,442,4,0
873,91276,938942,490,0,0
874,92276,938942,637,53,0
875,93276,938942,784,15,0
876,94276,938942,739,2,0
877,95276,938942,723,1,0
878,96276,938942,713,7,2
879,97276,938942,738,13,0
880,98276,938942,761,68,0
881,99276,938942,799,65,0
882,100276,938942,861,85,0
883,101276,938942,1070,99,0
884,102276,938942,1337,100,0
885,103276,938942,1450,75,0
886,104276,938942,1471,68,0
887,105276,938942,1585,32,0
888,106276,938942,1559,21,0
889,107276,938942,1437,61,0
890,108276,938942,1415,58,0
891,109276,938942,1374,53,0
892,110276,938942,1282,62,0
893,111276,938942,1010,24,48
894,112276,938942,1004,9,80
895,113276,938942,1048,13,3
896,114276,938942,1081,34,0
897,115276,938942,1166,61,0
898,116276,938942,1185,64,0
899,117276,938942,1116,60,0
900,83276,939942,372,0,0
901,84276,939942,372,0,72
902,85276,939942,372,0,100
903,86276,939942,372,0,100
904,87276,939942,372,0,100
905,88276,939942,372,0,100
906,89276,939942,373,4,54
907,90276,939942,408,4,0
908,91276,939942,437,0,0
909,92276,939942,562,11,0
910,93276,939942,753,10,0
911,94276,939942,707,0,0
912,95276,939942,694,4,0
913,96276,939942,692,30,0
914,97276,939942,698,14,0
915,98276,939942,696,35,0
916,99276,939942,717,4,0
917,100276,939942,756,13,0
918,101276,939942,820,72,0
919,102276,939942,1108,100,0
920,103276,939942,1359,100,0
921,104276,939942,1395,40,0
922,105276,939942,1468,84,0
923,106276,939942,1574,49,0
924,107276,939942,1488,50,0
925,108276,939942,1417,41,0
926,109276,939942,1403,43,0
927,110276,939942,1319,24,0
928,111276,939942,1162,62,1
929,112276,939942,1006,8,53
930,113276,939942,1010,7,56
931,114276,939942,1008,1,50
932,115276,939942,1113,53,9
933,116276,939942,1184,71,0
934,117276,939942,1104,74,0
935,118276,939942,1114,23,0
936,84276,940942,372,0,16
937,85276,940942,372,0,100
938,86276,940942,372,0,100
939,87276,940942,350,0,100
940,88276,940942,372,0,100
941,89276,940942,372,0,99
942,90276,940942,373,1,53
943,91276,940942,403,1,0
944,92276,940942,496,4,0
945,93276,940942,707,24,0
946,94276,940942,687,15,0
947,95276,940942,685,49,1
948,96276,940942,680,47,0
949,97276,940942,669,39,0
950,98276,940942,686,0,0
951,99276,940942,691,3,0
952,100276,940942,717,2,0
953,101276,940942,741,2,0
954,102276,940942,822,67,0
955,103276,940942,1150,98,0
956,104276,940942,1311,90,0
957,105276,940942,1328,86,0
958,106276,940942,1426,92,0
959,107276,940942,1488,78,0
960,108276,940942,1413,66,0
961,109276,940942,1392,43,0
962,110276,940942,1341,54,0
963,111276,940942,1250,57,0
964,112276,940942,1178,72,0
965,113276,940942,1072,19,9
966,114276,940942,1088,49,5
967,115276,940942,1069,69,9
968,116276,940942,1124,87,0
969,117276,940942,1021,92,0
970,118276,940942,1115,58,0
971,85276,941942,372,0,96
972,86276,941942,372,0,100
