y,x,abundance.1,abundance.2,abundance.3,elevation,forest,water,wind.1,wind.2,wind.3
267746.0231,572150.9066,1,1,2,1014,41,5,23.3,23.2,23.2
232739.6175,549642.6079,0,0,0,947,28,5,22.7,24,21.3
247242.2713,483118.0805,0,0,1,369,32,5,24.4,23.5,21.2
201733.9439,498123.613,0,1,0,665,38,5,22.7,21.4,24.1
299251.7882,534637.0754,0,0,0,539,0,48,22,22.9,20.1
270746.5722,599160.8651,0,0,0,953,26,5,21.8,21.7,22.5
366764.1419,479116.6052,0,0,0,547,33,5,25,24.1,21.3
338759.0174,471113.6545,0,0,0,206,20,5,24.7,22.5,23.5
290750.2326,594659.2054,2,1,2,1016,27,5,21.4,21.6,24.9
235740.1666,555144.6365,0,0,0,853,29,5,20,22.7,22.9
275747.4873,501124.7195,1,0,0,483,35,5,23,24.2,24.3
229238.9769,539138.7351,1,0,0,685,36,5,24.9,24.3,21.7
272746.9382,463610.8882,0,0,0,385,33,5,20.9,20.9,22.7
314254.5335,505126.1948,0,0,0,739,33,5,24.2,21.4,24.8
291750.4156,537638.1819,0,0,0,675,38,5,23.8,21.4,20.1
312254.1674,470613.4701,0,1,0,264,32,5,21.4,20.2,23.3
191732.1138,551643.3456,2,2,1,551,42,5,20.6,22.8,24.5
251243.0033,531635.9689,0,0,0,892,37,5,23.3,22.5,24.6
296751.3307,443603.5116,0,0,0,506,31,5,21.8,21.9,23.4
192732.2968,527634.4936,1,1,0,736,34,5,21.6,21,24.4
281748.5854,567149.0625,2,8,5,1472,37,5,21.8,22.5,24.3
290250.141,442603.1427,0,0,0,519,42,5,23,23.6,21.1
276747.6703,528634.8624,0,0,0,637,28,5,22.9,24.9,21
268246.1146,557645.5586,4,2,1,1309,37,5,20.2,22.6,22.5
293750.7816,529635.2312,0,0,0,526,23,26,24.9,22.4,23.3
278247.9448,452606.8311,0,0,0,473,36,5,20.9,22.6,23.9
206234.7675,535137.2598,1,0,1,614,41,5,21.4,24.8,20.3
234739.9835,512128.7767,1,0,0,693,38,5,22,22.3,23.6
286249.409,527634.4936,0,0,0,504,0,44,23.2,20.7,22.7
283748.9514,428597.9791,1,1,1,190,35,5,21.6,20.9,22.3
248242.4543,511128.4078,1,1,1,467,40,5,23.6,20.1,21.8
265245.5656,503125.4572,2,3,3,1306,36,5,23.8,21.5,24.4
259244.4675,555144.6365,2,0,2,550,39,5,22.6,23.2,23.2
309253.6184,530635.6001,0,0,0,614,20,5,24.1,23.7,23.4
272246.8467,447604.9869,0,0,0,437,32,5,22.3,20.8,21.8
258744.376,508127.3013,0,3,1,1053,41,5,24.1,24.4,24
218236.9637,550142.7923,0,1,0,573,35,5,24.4,20.4,23.7
316254.8995,512128.7767,0,0,0,611,17,5,20.7,24.4,23.8
323756.2722,507126.9325,1,1,1,852,34,5,21.2,23.9,21.9
262245.0165,535137.2598,1,0,0,730,35,5,20,24.3,21.7
233739.8005,541639.6572,0,0,0,685,35,5,23.3,24.3,23.8
362763.4099,484618.6337,0,0,0,312,38,5,21.3,22.9,23.5
330757.5533,462610.5194,0,0,0,466,38,5,21.7,21.2,21.1
235240.075,502125.0883,0,1,1,418,38,19,23.9,21.6,23.7
251243.0033,559146.1118,0,1,0,856,28,5,23,23.8,22.1
267746.0231,460109.5973,0,0,0,206,25,51,20.3,23.1,20.7
295251.0561,519131.3585,0,0,0,470,0,41,20.4,22,22.6
232239.526,486119.187,0,0,0,529,33,5,20.9,23,23.9
284249.0429,585155.7015,8,12,12,1667,38,5,21.8,21.9,20.3
313754.442,458609.0441,1,0,1,298,32,5,24.2,23,20.3
362763.4099,493621.9532,0,0,0,257,10,5,23.8,20.1,21.1
227238.6109,502125.0883,0,0,0,722,36,5,23.4,23.9,21.3
318755.3571,535137.2598,0,0,0,834,13,5,23,23.8,24
274747.3043,472114.0233,0,0,0,892,26,5,24.9,22.5,20.5
256744.0099,524133.2026,0,0,0,749,26,5,21.4,22.3,24.4
286249.409,552643.7144,2,2,2,1140,31,5,22.7,24.9,23.5
285249.226,488119.9247,0,0,0,191,0,53,20.5,24.2,24.6
