,northing,easting,elevation,forest
123,59276,921942,401,5
124,60276,921942,426,0
125,61276,921942,396,30
126,62276,921942,399,10
127,63276,921942,406,41
128,64276,921942,416,12
129,65276,921942,425,1
130,66276,921942,429,3
131,67276,921942,429,0
132,85276,921942,1389,8
133,86276,921942,1473,21
134,87276,921942,1467,67
135,88276,921942,1411,39
136,89276,921942,1248,13
137,90276,921942,1231,69
138,91276,921942,1280,54
139,92276,921942,1223,26
140,93276,921942,1192,9
141,56276,922942,471,0
142,57276,922942,459,0
143,58276,922942,417,0
144,59276,922942,399,4
145,60276,922942,415,4
146,61276,922942,419,2
147,62276,922942,405,15
148,63276,922942,450,0
149,64276,922942,427,1
150,65276,922942,425,1
151,66276,922942,421,0
152,67276,922942,420,0
153,69276,922942,433,0
154,70276,922942,452,0
155,71276,922942,466,6
156,72276,922942,472,22
157,84276,922942,1210,17
158,85276,922942,1301,71
159,86276,922942,1461,64
160,87276,922942,1450,13
161,88276,922942,1509,39
162,89276,922942,1331,87
163,90276,922942,1208,19
164,91276,922942,1288,76
165,92276,922942,1295,25
166,93276,922942,1356,55
167,94276,922942,1308,61
168,95276,922942,1186,18
169,55276,923942,490,0
170,56276,923942,477,0
171,57276,923942,463,0
172,58276,923942,419,0
173,59276,923942,397,0
174,60276,923942,390,4
175,61276,923942,407,2
176,62276,923942,399,15
177,63276,923942,416,0
178,64276,923942,433,1
179,65276,923942,450,0
180,66276,923942,433,1
181,67276,923942,414,0
182,68276,923942,416,0
183,69276,923942,425,2
184,70276,923942,434,1
185,71276,923942,445,21
186,72276,923942,447,55
187,73276,923942,458,50
188,74276,923942,461,11
189,75276,923942,466,2
190,84276,923942,1022,72
191,85276,923942,1201,89
192,86276,923942,1256,99
193,87276,923942,1443,66
194,88276,923942,1409,54
195,89276,923942,1290,81
196,90276,923942,1215,67
197,91276,923942,1297,67
198,92276,923942,1360,63
199,93276,923942,1456,26
200,94276,923942,1507,45
201,95276,923942,1339,86
202,96276,923942,1226,48
203,97276,923942,1154,12
204,103276,923942,1273,11
205,104276,923942,1310,44
206,55276,924942,486,0
207,56276,924942,470,1
208,57276,924942,450,10
209,58276,924942,422,4
210,59276,924942,408,4
211,60276,924942,385,0
212,61276,924942,376,0
213,62276,924942,375,1
214,63276,924942,403,0
215,64276,924942,408,0
216,65276,924942,438,1
217,66276,924942,450,2
218,67276,924942,409,15
219,68276,924942,407,10
220,69276,924942,425,28
221,70276,924942,425,8
222,71276,924942,422,42
223,72276,924942,433,83
224,73276,924942,444,88
225,74276,924942,455,50
226,75276,924942,470,5
227,76276,924942,468,12
228,77276,924942,463,2
229,83276,924942,626,39
230,84276,924942,746,100
231,85276,924942,931,100
232,86276,924942,1141,100
233,87276,924942,1321,92
234,88276,924942,1343,60
235,89276,924942,1204,71
236,90276,924942,1232,73
237,91276,924942,1332,57
238,92276,924942,1371,80
239,93276,924942,1431,68
240,94276,924942,1472,62
241,95276,924942,1456,47
242,96276,924942,1376,77
243,97276,924942,1264,48
244,98276,924942,1167,24
245,102276,924942,1219,15
246,103276,924942,1263,90
247,104276,924942,1300,99
248,105276,924942,1330,62
249,106276,924942,1349,1
250,56276,925942,459,0
251,57276,925942,440,2
252,58276,925942,422,2
253,59276,925942,419,10
254,60276,925942,385,15
255,61276,925942,389,0
256,62276,925942,380,0
257,63276,925942,376,0
258,64276,925942,384,0
259,65276,925942,381,4
260,66276,925942,386,12
261,67276,925942,389,8
262,68276,925942,392,11
263,69276,925942,421,6
264,70276,925942,416,19
265,71276,925942,410,28
266,72276,925942,425,30
267,73276,925942,431,49
268,74276,925942,450,53
269,75276,925942,460,55
270,76276,925942,475,72
271,77276,925942,470,22
272,78276,925942,467,1
273,82276,925942,543,0
274,83276,925942,549,7
275,84276,925942,600,70
276,85276,925942,691,91
277,86276,925942,890,100
278,87276,925942,1147,98
279,88276,925942,1207,94
280,89276,925942,1166,67
281,90276,925942,1216,87
282,91276,925942,1326,42
283,92276,925942,1342,66
284,93276,925942,1329,36
285,94276,925942,1371,96
286,95276,925942,1502,95
287,96276,925942,1468,95
288,97276,925942,1347,87
289,98276,925942,1286,55
290,99276,925942,1135,3
291,101276,925942,1184,14
292,102276,925942,1197,83
293,103276,925942,1239,96
294,104276,925942,1239,96
295,105276,925942,1296,100
296,106276,925942,1352,52
297,57276,926942,426,0
298,58276,926942,425,25
299,59276,926942,417,7
300,60276,926942,397,11
301,61276,926942,417,3
302,62276,926942,394,0
303,63276,926942,372,0
304,64276,926942,372,0
305,65276,926942,372,0
306,66276,926942,372,0
307,67276,926942,372,0
308,68276,926942,372,0
309,69276,926942,391,1
310,70276,926942,400,24
311,71276,926942,398,6
312,72276,926942,407,9
313,73276,926942,423,41
314,74276,926942,428,18
315,75276,926942,443,3
316,76276,926942,453,9
317,77276,926942,473,17
318,78276,926942,474,0
319,79276,926942,469,7
320,80276,926942,468,1
321,81276,926942,477,0
322,82276,926942,506,6
323,83276,926942,524,0
324,84276,926942,549,13
325,85276,926942,607,18
326,86276,926942,703,89
327,87276,926942,859,100
328,88276,926942,1041,92
329,89276,926942,1086,58
330,90276,926942,1126,53
331,91276,926942,1287,50
332,92276,926942,1286,87
333,93276,926942,1300,87
334,94276,926942,1299,67
335,95276,926942,1355,88
336,96276,926942,1463,59
337,97276,926942,1481,89
338,98276,926942,1374,93
339,99276,926942,1304,24
340,100276,926942,1194,44
341,101276,926942,1050,46
342,102276,926942,1179,83
343,103276,926942,1222,88
344,104276,926942,1215,88
345,105276,926942,1269,100
346,106276,926942,1325,99
347,107276,926942,1345,28
348,57276,927942,424,0
349,58276,927942,427,6
350,59276,927942,417,21
351,60276,927942,412,11
352,61276,927942,421,0
353,62276,927942,421,3
354,63276,927942,400,10
355,64276,927942,372,0
356,65276,927942,372,0
357,66276,927942,372,0
358,67276,927942,372,0
359,68276,927942,372,0
360,69276,927942,372,0
361,70276,927942,372,2
362,71276,927942,372,0
363,72276,927942,372,1
364,73276,927942,387,5
365,74276,927942,412,6
366,75276,927942,426,2
367,76276,927942,432,0
368,77276,927942,444,0
369,78276,927942,463,13
370,79276,927942,468,39
371,80276,927942,472,32
372,81276,927942,466,1
373,82276,927942,490,1
374,83276,927942,513,1
375,84276,927942,533,2
376,85276,927942,554,5
377,86276,927942,609,68
378,87276,927942,712,98
379,88276,927942,823,94
380,89276,927942,978,94
381,90276,927942,1074,23
382,91276,927942,1134,58
383,92276,927942,1193,62
384,93276,927942,1252,78
385,94276,927942,1286,59
386,95276,927942,1279,64
387,96276,927942,1360,78
388,97276,927942,1460,54
389,98276,927942,1458,95
390,99276,927942,1355,91
391,100276,927942,1284,35
392,101276,927942,1119,74
393,102276,927942,1046,30
394,103276,927942,1174,84
395,104276,927942,1192,89
396,105276,927942,1223,100
397,106276,927942,1244,100
398,107276,927942,1336,94
399,108276,927942,1352,4
400,58276,928942,423,0
401,59276,928942,406,0
402,60276,928942,402,0
403,61276,928942,413,2
404,62276,928942,424,0
405,63276,928942,439,3
406,64276,928942,471,4
407,65276,928942,384,1
408,66276,928942,372,0
409,67276,928942,372,0
410,68276,928942,372,0
411,69276,928942,372,0
412,70276,928942,372,0
413,71276,928942,350,0
414,72276,928942,372,0
415,73276,928942,372,0
416,74276,928942,377,0
417,75276,928942,401,4
418,76276,928942,413,0
419,77276,928942,421,1
420,78276,928942,437,11
421,79276,928942,450,19
422,80276,928942,459,43
423,81276,928942,460,17
424,82276,928942,468,2
425,83276,928942,501,0
426,84276,928942,513,2
427,85276,928942,529,1
428,86276,928942,565,37
429,87276,928942,650,89
430,88276,928942,680,96
431,89276,928942,870,92
432,90276,928942,1032,36
433,91276,928942,1058,65
434,92276,928942,1115,79
435,93276,928942,1164,77
436,94276,928942,1253,49
437,95276,928942,1250,34
438,96276,928942,1294,74
439,97276,928942,1362,81
440,98276,928942,1463,73
441,99276,928942,1446,92
442,100276,928942,1316,53
443,101276,928942,1250,21
444,102276,928942,1073,44
445,103276,928942,1050,27
446,104276,928942,1145,61
447,105276,928942,1141,73
448,106276,928942,1208,97
449,107276,928942,1281,100
450,108276,928942,1345,63
451,109276,928942,1354,5
452,60276,929942,405,0
453,61276,929942,420,0
454,62276,929942,423,0
455,63276,929942,429,3
456,64276,929942,462,3
457,65276,929942,476,4
458,66276,929942,428,0
459,67276,929942,403,6
460,68276,929942,387,4
461,69276,929942,372,3
462,70276,929942,372,0
463,71276,929942,372,0
464,72276,929942,372,0
465,73276,929942,372,0
466,74276,929942,372,0
467,75276,929942,372,1
468,76276,929942,384,1
469,77276,929942,390,0
470,78276,929942,398,8
471,79276,929942,432,3
472,80276,929942,445,4
473,81276,929942,450,1
474,82276,929942,448,3
475,83276,929942,478,0
476,84276,929942,494,1
477,85276,929942,503,1
478,86276,929942,540,6
479,87276,929942,569,42
480,88276,929942,618,28
481,89276,929942,783,99
482,90276,929942,913,89
483,91276,929942,1021,73
484,92276,929942,1011,85
485,93276,929942,1131,64
486,94276,929942,1212,65
487,95276,929942,1318,82
488,96276,929942,1297,58
489,97276,929942,1299,40
490,98276,929942,1328,59
491,99276,929942,1429,85
492,100276,929942,1388,93
493,101276,929942,1278,53
494,102276,929942,1220,30
495,103276,929942,1069,14
496,104276,929942,1055,33
497,105276,929942,1094,31
498,106276,929942,1147,71
499,107276,929942,1218,100
500,108276,929942,1300,99
501,109276,929942,1341,66
502,110276,929942,1366,1
503,61276,930942,422,1
504,62276,930942,427,3
505,63276,930942,428,5
506,64276,930942,434,0
507,65276,930942,458,6
508,66276,930942,447,1
509,67276,930942,432,2
510,68276,930942,413,0
511,69276,930942,386,1
512,70276,930942,372,0
513,71276,930942,372,0
514,72276,930942,372,0
515,73276,930942,372,0
516,74276,930942,372,0
517,75276,930942,372,0
518,76276,930942,372,0
519,77276,930942,372,0
520,78276,930942,372,1
521,79276,930942,383,6
522,80276,930942,423,5
523,81276,930942,431,14
524,82276,930942,430,10
525,83276,930942,451,0
526,84276,930942,473,1
527,85276,930942,481,0
528,86276,930942,506,5
529,87276,930942,533,6
530,88276,930942,570,1
531,89276,930942,663,60
532,90276,930942,792,20
533,91276,930942,874,45
534,92276,930942,923,91
535,93276,930942,983,62
536,94276,930942,1146,90
537,95276,930942,1343,80
538,96276,930942,1366,66
539,97276,930942,1377,55
540,98276,930942,1334,50
541,99276,930942,1331,44
542,100276,930942,1360,81
543,101276,930942,1336,86
544,102276,930942,1288,54
545,103276,930942,1209,35
546,104276,930942,1043,6
547,105276,930942,1042,18
548,106276,930942,1088,30
549,107276,930942,1155,86
550,108276,930942,1224,99
551,109276,930942,1286,99
552,110276,930942,1355,67
553,62276,931942,429,0
554,63276,931942,429,0
555,64276,931942,428,3
556,65276,931942,452,3
557,66276,931942,433,1
558,67276,931942,436,0
559,68276,931942,435,0
560,69276,931942,429,6
561,70276,931942,416,2
562,71276,931942,374,0
563,72276,931942,372,0
564,73276,931942,372,0
565,74276,931942,372,0
566,75276,931942,372,0
567,76276,931942,372,0
568,77276,931942,372,0
569,78276,931942,372,0
570,79276,931942,372,0
571,80276,931942,375,1
572,81276,931942,398,20
573,82276,931942,415,11
574,83276,931942,429,0
575,84276,931942,452,3
576,85276,931942,462,0
577,86276,931942,464,9
578,87276,931942,494,10
579,88276,931942,540,15
580,89276,931942,634,6
581,90276,931942,694,7
582,91276,931942,746,49
583,92276,931942,837,41
584,93276,931942,916,80
585,94276,931942,1036,87
586,95276,931942,1184,85
587,96276,931942,1326,87
588,97276,931942,1400,79
589,98276,931942,1430,60
590,99276,931942,1320,19
591,100276,931942,1320,43
592,101276,931942,1322,51
593,102276,931942,1333,92
594,103276,931942,1279,49
595,104276,931942,1130,46
596,105276,931942,1020,5
597,106276,931942,1028,3
598,107276,931942,1090,31
599,108276,931942,1152,66
600,109276,931942,1196,100
601,110276,931942,1269,100
602,111276,931942,1344,51
603,62276,932942,437,0
604,63276,932942,433,0
605,64276,932942,430,3
606,65276,932942,429,5
607,66276,932942,431,1
608,67276,932942,437,0
609,68276,932942,438,1
610,69276,932942,434,2
611,70276,932942,426,2
612,71276,932942,420,6
613,72276,932942,382,1
614,73276,932942,372,0
615,74276,932942,372,0
616,76276,932942,372,0
617,77276,932942,372,0
618,78276,932942,372,0
619,79276,932942,372,0
620,80276,932942,372,0
621,81276,932942,372,4
622,82276,932942,398,1
623,83276,932942,415,1
624,84276,932942,431,11
625,85276,932942,452,4
626,86276,932942,445,13
627,87276,932942,483,21
628,88276,932942,524,67
629,89276,932942,577,55
630,90276,932942,661,38
631,91276,932942,722,16
632,92276,932942,781,3
633,93276,932942,833,14
634,94276,932942,907,75
635,95276,932942,1048,83
636,96276,932942,1152,94
637,97276,932942,1323,77
638,98276,932942,1349,90
639,99276,932942,1368,83
640,100276,932942,1344,33
641,101276,932942,1318,47
642,102276,932942,1355,96
643,103276,932942,1338,52
644,104276,932942,1356,62
645,105276,932942,1189,60
646,106276,932942,1016,5
647,107276,932942,1020,10
648,108276,932942,1066,16
649,109276,932942,1136,87
650,110276,932942,1210,100
651,111276,932942,1297,99
652,112276,932942,1379,41
653,62276,933942,445,0
654,63276,933942,454,0
655,64276,933942,448,2
656,65276,933942,451,0
657,66276,933942,457,1
658,67276,933942,450,4
659,68276,933942,444,0
660,69276,933942,430,0
661,71276,933942,418,2
662,72276,933942,411,9
663,73276,933942,388,2
664,78276,933942,372,0
665,79276,933942,372,0
666,80276,933942,372,0
667,81276,933942,372,0
668,82276,933942,372,1
669,83276,933942,399,0
670,84276,933942,420,1
671,85276,933942,422,0
672,86276,933942,432,12
673,87276,933942,460,5
674,88276,933942,501,11
675,89276,933942,597,12
676,90276,933942,645,59
677,91276,933942,687,35
678,92276,933942,727,7
679,93276,933942,772,8
680,94276,933942,837,11
681,95276,933942,932,73
682,96276,933942,1028,90
683,97276,933942,1177,95
684,98276,933942,1248,100
685,99276,933942,1288,85
686,100276,933942,1395,75
687,101276,933942,1367,38
688,102276,933942,1346,32
689,103276,933942,1330,21
690,104276,933942,1373,61
691,105276,933942,1325,65
692,106276,933942,1127,23
693,107276,933942,1008,11
694,108276,933942,1006,13
695,109276,933942,1071,36
696,110276,933942,1119,63
697,111276,933942,1174,80
698,112276,933942,1281,68
699,113276,933942,1374,44
700,63276,934942,481,4
701,64276,934942,476,9
702,65276,934942,473,0
703,66276,934942,465,0
704,67276,934942,461,1
705,68276,934942,454,0
706,80276,934942,372,0
707,81276,934942,372,0
708,82276,934942,372,0
709,83276,934942,372,3
710,84276,934942,404,9
711,85276,934942,411,23
712,86276,934942,421,5
713,87276,934942,435,0
714,88276,934942,464,1
715,89276,934942,571,17
716,90276,934942,686,2
717,91276,934942,725,7
718,92276,934942,756,0
719,93276,934942,808,19
720,94276,934942,870,0
721,95276,934942,950,6
722,96276,934942,936,8
723,97276,934942,1009,64
724,98276,934942,1128,98
725,99276,934942,1150,95
726,100276,934942,1365,35
727,101276,934942,1432,94
728,102276,934942,1369,40
729,103276,934942,1350,22
730,104276,934942,1340,34
731,105276,934942,1341,82
732,106276,934942,1269,46
733,107276,934942,1106,16
734,108276,934942,1005,0
735,109276,934942,1004,13
736,110276,934942,1071,31
737,111276,934942,1150,29
738,112276,934942,1146,60
739,113276,934942,1284,73
740,114276,934942,1286,31
741,63276,935942,491,0
742,64276,935942,494,54
743,65276,935942,486,33
744,66276,935942,481,7
745,67276,935942,472,22
746,68276,935942,467,7
747,81276,935942,372,0
748,82276,935942,372,0
749,83276,935942,372,9
750,84276,935942,390,40
751,85276,935942,402,39
752,86276,935942,407,0
753,87276,935942,421,9
754,88276,935942,426,7
755,89276,935942,467,9
756,90276,935942,678,29
757,91276,935942,762,32
758,92276,935942,806,43
759,93276,935942,809,80
760,94276,935942,843,31
761,95276,935942,842,16
762,96276,935942,861,36
763,97276,935942,1000,82
764,98276,935942,1067,87
765,99276,935942,1103,86
766,100276,935942,1241,94
767,101276,935942,1446,83
768,102276,935942,1491,59
769,103276,935942,1461,16
770,104276,935942,1395,56
771,105276,935942,1327,54
772,106276,935942,1306,63
773,107276,935942,1272,34
774,108276,935942,1086,17
775,109276,935942,1004,0
776,110276,935942,1004,16
777,111276,935942,1076,14
778,112276,935942,1098,11
779,113276,935942,1157,44
780,114276,935942,1239,90
781,115276,935942,1197,37
782,116276,935942,1186,1
783,64276,936942,505,1
784,65276,936942,501,79
785,66276,936942,492,87
786,67276,936942,482,82
787,68276,936942,472,58
788,69276,936942,465,11
789,81276,936942,372,0
790,82276,936942,372,0
791,83276,936942,372,0
792,84276,936942,372,8
793,85276,936942,372,7
794,86276,936942,386,2
795,87276,936942,403,36
796,88276,936942,413,3
797,89276,936942,432,0
798,90276,936942,517,31
799,91276,936942,686,87
800,92276,936942,782,88
801,93276,936942,862,86
802,94276,936942,792,69
803,95276,936942,792,66
804,96276,936942,786,47
805,97276,936942,948,85
806,98276,936942,1035,84
807,99276,936942,1010,100
808,100276,936942,1220,99
809,101276,936942,1339,79
810,102276,936942,1439,86
811,103276,936942,1516,69
812,104276,936942,1550,40
813,105276,936942,1421,67
814,106276,936942,1350,56
815,107276,936942,1346,47
816,108276,936942,1265,44
817,109276,936942,1051,29
818,110276,936942,1004,0
819,111276,936942,1031,19
820,112276,936942,1076,17
821,113276,936942,1108,35
822,114276,936942,1169,56
823,115276,936942,1198,85
824,116276,936942,1180,55
825,65276,937942,508,12
826,66276,937942,507,30
827,67276,937942,500,40
828,68276,937942,492,29
829,82276,937942,372,0
830,83276,937942,372,0
831,84276,937942,372,0
832,85276,937942,372,0
833,86276,937942,372,0
834,87276,937942,382,7
835,88276,937942,419,3
836,89276,937942,431,5
837,90276,937942,466,0
838,91276,937942,553,26
839,92276,937942,715,78
840,93276,937942,823,35
841,94276,937942,787,34
842,95276,937942,759,28
843,96276,937942,755,26
844,97276,937942,803,19
845,98276,937942,870,67
846,99276,937942,886,100
847,100276,937942,1088,96
848,101276,937942,1301,100
849,102276,937942,1380,60
850,103276,937942,1475,61
851,104276,937942,1547,67
852,105276,937942,1546,19
853,106276,937942,1435,52
854,107276,937942,1367,65
855,108276,937942,1348,63
856,109276,937942,1270,89
857,110276,937942,1032,32
858,111276,937942,1004,1
859,112276,937942,1037,25
860,113276,937942,1068,33
861,114276,937942,1126,56
862,115276,937942,1181,60
863,116276,937942,1176,92
864,117276,937942,1117,9
865,83276,938942,372,0
866,84276,938942,372,0
867,85276,938942,372,0
868,86276,938942,372,0
869,87276,938942,372,0
870,88276,938942,380,0
871,89276,938942,421,14
872,90276,938942,442,4
873,91276,938942,490,0
874,92276,938942,637,53
875,93276,938942,784,15
876,94276,938942,739,2
877,95276,938942,723,1
878,96276,938942,713,7
879,97276,938942,738,13
880,98276,938942,761,68
881,99276,938942,799,65
882,100276,938942,861,85
883,101276,938942,1070,99
884,102276,938942,1337,100
885,103276,938942,1450,75
886,104276,938942,1471,68
887,105276,938942,1585,32
888,106276,938942,1559,21
889,107276,938942,1437,61
890,108276,938942,1415,58
891,109276,938942,1374,53
892,110276,938942,1282,62
893,111276,938942,1010,24
894,112276,938942,1004,9
895,113276,938942,1048,13
896,114276,938942,1081,34
897,115276,938942,1166,61
898,116276,938942,1185,64
899,117276,938942,1116,60
900,83276,939942,372,0
901,84276,939942,372,0
902,85276,939942,372,0
903,86276,939942,372,0
904,87276,939942,372,0
905,88276,939942,372,0
906,89276,939942,373,4
907,90276,939942,408,4
908,91276,939942,437,0
909,92276,939942,562,11
910,93276,939942,753,10
911,94276,939942,707,0
912,95276,939942,694,4
913,96276,939942,692,30
914,97276,939942,698,14
915,98276,939942,696,35
916,99276,939942,717,4
917,100276,939942,756,13
918,101276,939942,820,72
919,102276,939942,1108,100
920,103276,939942,1359,100
921,104276,939942,1395,40
922,105276,939942,1468,84
923,106276,939942,1574,49
924,107276,939942,1488,50
925,108276,939942,1417,41
926,109276,939942,1403,43
927,110276,939942,1319,24
928,111276,939942,1162,62
929,112276,939942,1006,8
930,113276,939942,1010,7
931,114276,939942,1008,1
932,115276,939942,1113,53
933,116276,939942,1184,71
934,117276,939942,1104,74
935,118276,939942,1114,23
936,84276,940942,372,0
937,85276,940942,372,0
938,86276,940942,372,0
939,87276,940942,350,0
940,88276,940942,372,0
941,89276,940942,372,0
942,90276,940942,373,1
943,91276,940942,403,1
944,92276,940942,496,4
945,93276,940942,707,24
946,94276,940942,687,15
947,95276,940942,685,49
948,96276,940942,680,47
949,97276,940942,669,39
950,98276,940942,686,0
951,99276,940942,691,3
952,100276,940942,717,2
953,101276,940942,741,2
954,102276,940942,822,67
955,103276,940942,1150,98
956,104276,940942,1311,90
957,105276,940942,1328,86
958,106276,940942,1426,92
959,107276,940942,1488,78
960,108276,940942,1413,66
961,109276,940942,1392,43
962,110276,940942,1341,54
963,111276,940942,1250,57
964,112276,940942,1178,72
965,113276,940942,1072,19
966,114276,940942,1088,49
967,115276,940942,1069,69
968,116276,940942,1124,87
969,117276,940942,1021,92
970,118276,940942,1115,58
971,85276,941942,372,0
972,86276,941942,372,0
973,87276,941942,372,0
974,88276,941942,372,0
975,89276,941942,372,0
976,90276,941942,372,0
977,91276,941942,386,0
978,92276,941942,451,2
979,93276,941942,653,25
980,94276,941942,670,22
981,95276,941942,642,47
982,96276,941942,670,62
983,97276,941942,649,54
984,98276,941942,675,7
985,99276,941942,683,1
986,100276,941942,701,0
987,101276,941942,703,12
988,102276,941942,722,3
989,103276,941942,811,70
990,104276,941942,1052,100
991,105276,941942,1218,93
992,106276,941942,1186,97
993,107276,941942,1254,100
994,108276,941942,1316,86
995,109276,941942,1299,24
996,110276,941942,1320,54
997,111276,941942,1352,82
998,112276,941942,1225,67
999,113276,941942,1127,58
1000,114276,941942,1197,73
1001,115276,941942,1319,63
1002,116276,941942,1029,86
1003,117276,941942,922,90
1004,118276,941942,1079,86
1005,119276,941942,1296,9
1006,85276,942942,372,0
1007,86276,942942,372,0
1008,87276,942942,372,0
1009,88276,942942,372,0
1010,89276,942942,372,0
1011,90276,942942,372,0
1012,91276,942942,381,0
1013,92276,942942,421,3
1014,93276,942942,548,7
1015,94276,942942,628,18
1016,95276,942942,615,1
1017,96276,942942,634,48
1018,97276,942942,634,76
1019,98276,942942,673,63
1020,99276,942942,701,28
1021,100276,942942,704,60
1022,101276,942942,692,2
1023,102276,942942,692,0
1024,103276,942942,717,0
1025,104276,942942,770,52
1026,105276,942942,888,96
1027,106276,942942,878,100
1028,107276,942942,1008,100
1029,108276,942942,1202,92
1030,109276,942942,1216,83
1031,110276,942942,1172,92
1032,111276,942942,1186,66
1033,112276,942942,1140,55
1034,113276,942942,1090,11
1035,114276,942942,1108,57
1036,115276,942942,1202,47
1037,116276,942942,1256,80
1038,117276,942942,862,81
1039,118276,942942,777,34
1040,119276,942942,1238,55
1041,120276,942942,1329,2
1042,85276,943942,372,0
1043,86276,943942,372,0
1044,87276,943942,372,0
1045,88276,943942,372,0
1046,89276,943942,372,0
1047,90276,943942,372,0
1048,91276,943942,373,9
1049,92276,943942,423,7
1050,93276,943942,456,0
1051,94276,943942,562,4
1052,95276,943942,555,23
1053,96276,943942,561,47
1054,97276,943942,660,28
1055,98276,943942,679,90
1056,99276,943942,695,100
1057,100276,943942,711,60
1058,101276,943942,703,0
1059,102276,943942,690,0
1060,103276,943942,690,2
1061,104276,943942,695,2
1062,105276,943942,706,11
1063,106276,943942,746,19
1064,107276,943942,812,58
1065,108276,943942,909,96
1066,109276,943942,1030,90
1067,110276,943942,1052,84
1068,111276,943942,1090,91
1069,112276,943942,1181,41
1070,113276,943942,1099,27
1071,114276,943942,1069,55
1072,115276,943942,1087,10
1073,116276,943942,1157,11
1074,117276,943942,1081,87
1075,118276,943942,774,30
1076,119276,943942,941,72
1077,120276,943942,1024,57
1078,121276,943942,919,4
1079,85276,944942,372,0
1080,86276,944942,372,0
1081,87276,944942,372,0
1082,88276,944942,372,0
1083,89276,944942,372,0
1084,90276,944942,372,1
1085,91276,944942,375,21
1086,92276,944942,423,0
1087,93276,944942,442,0
1088,94276,944942,497,2
1089,95276,944942,512,26
1090,96276,944942,602,9
1091,97276,944942,630,6
1092,98276,944942,647,39
1093,99276,944942,684,93
1094,100276,944942,686,51
1095,101276,944942,683,10
1096,102276,944942,682,27
1097,103276,944942,674,68
1098,104276,944942,679,24
1099,105276,944942,683,1
1100,106276,944942,686,0
1101,107276,944942,713,0
1102,108276,944942,761,42
1103,109276,944942,859,100
1104,110276,944942,930,72
1105,111276,944942,1025,68
1106,112276,944942,1166,51
1107,113276,944942,1212,45
1108,114276,944942,1110,30
1109,115276,944942,1024,38
1110,116276,944942,994,5
1111,117276,944942,1113,73
1112,118276,944942,823,45
1113,119276,944942,774,15
1114,120276,944942,855,21
1115,121276,944942,846,3
1116,122276,944942,1106,5
1117,85276,945942,372,0
1118,86276,945942,372,0
1119,87276,945942,372,0
1120,88276,945942,372,0
